delta18O,D
-4.24,-28.7
-3.71,-19.2
-2.57,-9.2
-1.74,1.7
-3.88,-20.1
-4.04,-25.5
-2.59,-5.7
-1.34,0.6
-5.21,-31.9
-6.6,-41.9
-4.76,-29
-5.15,-30.6
-3.54,-18.5
-5.03,-31.1
-2.67,-10.9
-2.7,-9.1
-3,-13.4
-1.06,6.6
-1.45,-2.8
-4.76,-28.6
-3.74,-16.6
-5.64,-38.3
-5.65,-39.4
-4.77,-29
-3.31,-12.6
-1.99,-1.1
-3.27,-15.4
-1.9,-3.1
-3.24,-15.1
-1.94,-4.8
-3.39,-16.3
-4.87,-29.3
-2.85,-11.9
-5.07,-25
-2.44,-5.3
-3.19,-11.9
-1.84,0.4
-1.76,-1.2
-3.12,-12.7
-1.96,-1.8
-1.48,3.3
-0.17,4.7
-1.6,-7.9
-3.12,-21.8
-9.86,-72.6
-0.47,4.2
-2.11,-6.6
-4.3,-26.2
-1.63,-1.1
-1.66,-1.3
-0.54,7
-2.38,-8.6
-3.08,-16.2
-1.13,-3.7
-7.61,-48.5
-7.09,-44.9
-5.22,-28.3
-7.26,-47.6
-4.41,-22.4
-2.26,-7.5
-5.87,-34.3
-1.92,-12.3
-3.96,-24.6
-5.33,-32.4
-5.54,-35.6
-6.91,-43.7
-3.17,-20.2
-6.71,-48.7
-5.02,-27.8
-2.2,-8.9
-2.27,-6.3
-3.23,-10.3
-7.68,-55.6
-3.21,-16.1
-3.78,-24
-3.79,-20.8
-10.3,-74.5
-3.84,-21.5
-3.13,-21
-5.44,-33.5
-3.22,-16.3
-1.6,1.9
-1.18,-4.1
-3.08,-17.6
0.84,11.8
-4.98,-29.5
-6.38,-45.2
-2.48,-13.7
-6.22,-41.1
-1.93,-11.4
-6.07,-37.7
-3.25,-11.1
-3.45,-18
-0.72,1.6
-3,-11.7
-6.32,-38
-5.4,-34.2
-7.02,-48.6
-1.16,-3.3
-4.49,-27.3
-4.94,-31.8
-4.92,-28.4
-3.37,-12.6
-7.23,-47.1
-4.08,-20.1
-2.53,-9.7
-5.04,-36.1
-8.39,-59.3
-4.4,-37.3
-4.13,-22.4
-8.45,-57.2
-2.62,-11.9
-4.26,-22.5
-2.41,-10.4
-1.74,-5.2
-3.64,-18.6
-3.34,-11.6
-2.38,-5.5
-2.26,-8.9
-5.97,-39.6
-5.83,-37.8
-6.78,-41.9
-3.7,-21.7
-6.79,-41.7
-3.44,-16
-5.09,-25.5
-4.26,-24.3
-3.37,-16.3
-1.38,-0.7
-3.52,-15
-2.61,-10.4
-2.62,-10.2
-4,-16.2
-3.1,-14.3
-3,-17.4
-2.3,-12.4
-3.3,-15.5
-4.7,-21.1
-8.2,-53.9
-4.8,-18.6
-5.9,-32.3
-6.9,-41.6
-3.3,-10.6
-2,-6.9
0.5,15.6
-1.3,1.2
-3.9,-18
-3.52,-13.5
-2.63,-13
-2.2,-3.5
-1.84,-5.6
-5.17,-24.9
-2.88,-8.7
-6.13,-40.3
-4.92,-28.6
-5.43,-26.7
-4.33,-21
-2.95,-13.4
-1.7,-4.2
-5.32,-34.8
-3.35,-19
-1.9,-3.4
-9.75,-68.5
-4.7,-28
-5.21,-27.7
-6.04,-34.1
-5.47,-31.1
-5.08,-32.4
-3.06,-16.3
-1.38,-6.7
-4.41,-19.2
-4.4,-27.8
-4.9,-31.8
-5.28,-30
-3.78,-14.2
-6.4,-34.5
-4.29,-16.6
-4.6,-24.1
-9.54,-61.2
-5.79,-37.8
-3.58,-17.8
-4.23,-27.9
-4.75,-30
-1.69,-2.6
-3.36,-19
-4.73,-26.4
-3.93,-17.7
-5.15,-23.1
-4.39,-18.5
-5.47,-28.2
-4.99,-21.4
-4.57,-22.5
-4.82,-27.6
-4.69,-22.6
-4.5,-25.1
-2.38,-9
-3.06,-14.4
-3.31,-12.8
-4.65,-23.1
-6.27,-35.2
-5.79,-30.2
-5.36,-28.6
-6.24,-33.8
-2.51,-6.9
-7.11,-52.9
-4.03,-27.7
-1.82,-5.8
-4.57,-33
-5.69,-39.8
-5.18,-30.3
-7.22,-50.1
-5.83,-36.7
-3.83,-22.7
-3.76,-20.8
-1.34,-4.2
-2.57,-12.5
-2.03,-13.7
-6.02,-42.7
-4.51,-28
-5.01,-30
-4.66,-25.8
-5.37,-34.4
-5.2,-32.3
-5.78,-37.2
-5.58,-34.9
-4.53,-29.7
-1.93,-3.9
-4.57,-27
-5,-23
-4.24,-19.6
-2.23,-3.2
-3.96,-15.2
-5.76,-34.1
-5.84,-26.6
-4.42,-24.5
-4.6,-21
-3.94,-16
-2.56,-3.2
-2.64,-11.2
-2.2,-2.2
-5.6,-32.6
-2.96,-7.9
-13.52,-98.8
-4.06,-17
-7.25,-42.7
-6.41,-37
-3.25,-9.5
-4.44,-19
-4.34,-19.8
-1.81,-3.8
-2.45,-10.9
-4.82,-24.8
-4.31,-24.4
-3.83,-24.9
-6.17,-39.5
-3.29,-13.2
-7.5,-48.3
-5.94,-31
-5.54,-30.8
-4.16,-16.5
-4.41,-26.6
-2.87,-13.2
-3.85,-20.7
-3.61,-15.5
-5.61,-31.5
-3.43,-17.6
-6.65,-34.7
-6,-38.6
-4.97,-28.3
-4.93,-24.9
-4.8,-23.8
-6.73,-36.8
-1.88,-2.5
-4.79,-28.8
-2.8,-13.3
-2.7,-13.7
-4.82,-31.7
-9.41,-59.9
-7.6,-50.1
-6.62,-44.1
-7.06,-45
-5.08,-24.6
-6.09,-32
-3.51,-12
-3.77,-20.8
-5.39,-36
-3,-14.5
-3.23,-20.2
-7.07,-47.3
-3.1,-14.2
-2.92,-7.4
-3.74,-16.6
-5.03,-22.9
-6.97,-42.4
-4.93,-23.2
-6.09,-37.8
-4.16,-23.6
-3.9,-14.7
-3.65,-17.1
-4.11,-21.9
-2.89,-11.2
-3.49,-17.7
-4.23,-21.8
-2.94,-11.7
-4.36,-20.4
-7.25,-44
-3.18,-10.3
-4.73,-22.8
-3.18,-16.4
-5.73,-38.7
-4.1,-25.1
-0.52,-2.2
-3.49,-19.4
-7.28,-48
-2.03,-4.7
-6.18,-41
-5.16,-30.6
-5.2,-27.9
-4.56,-23.6
-6.24,-40.4
-2.15,-7.3
-4.6,-31.5
-4.11,-25.9
-5.29,-34.6
-1.01,-7.8
-2.14,-9.5
-4.5,-24.6
-5.27,-33.1
-5.65,-31
-6.47,-40.1
-6.78,-39.7
-6.04,-37.9
-4.16,-24.5
-5.24,-34.1
-2.16,-13.7
-1.26,-8.4
-1.85,-1.8
-3.29,-19.9
-3.58,-15.3
-5.8,-34.9
-4.13,-19.5
-5.02,-23.9
-5.23,-27.5
-3.74,-16
-3.48,-22.6
-4.35,-27.5
-7.13,-47.3
-3.28,-19
-4.29,-25.8
-3.29,-10.7
-4.05,-15.7
-7.7,-45.5
-6.64,-39
-6.69,-41.3
-4.03,-20.3
-5.74,-33.2
-3.61,-17.1
-3.34,-13.4
-2.87,-11.1
